224,1.09,34928.57,-1.09,-1.4
225,1.1,34729.87,-0.98,-1.3
226,1.1,34532.92,-0.87,-1.2
227,1.11,34337.71,-0.76,-1.1
228,1.11,34144.21,-0.65,-0.9
229,1.12,33952.4,-0.54,-0.8
230,1.12,33762.26,-0.43,-0.7
231,1.13,33573.77,-0.32,-0.6
232,1.13,33386.9,-0.21,-0.5
233,1.14,33201.63,-0.1,-0.4
234,1.14,33017.95,0.01,-0.3
235,1.15,32835.83,0.12,-0.2
236,1.15,32655.25,0.23,-0.1
237,1.16,32476.2,0.34,0.0
238,1.16,32298.66,0.44,0.1
239,1.17,32122.59,0.55,0.3
240,1.17,31948,0.66,0.4
241,1.18,31774.85,0.77,0.5
242,1.18,31603.14,0.87,0.6
243,1.19,31432.84,0.98,0.7
244,1.19,31263.93,1.09,0.8
245,1.2,31096.41,1.19,0.9
246,1.2,30930.24,1.3,1.0
247,1.21,30765.43,1.41,1.1
248,1.21,30601.94,1.51,1.2
249,1.22,30439.76,1.62,1.3
250,1.22,30278.88,1.72,1.4
251,1.23,30119.28,1.83,1.5
252,1.23,29960.95,1.93,1.6
253,1.24,29803.87,2.04,1.7
254,1.24,29648.03,2.14,1.8
255,1.25,29493.41,2.25,1.9
256,1.25,29340,2.35,2.0
257,1.25,29187.78,2.45,2.2
258,1.26,29036.74,2.56,2.3
259,1.26,28886.87,2.66,2.4
260,1.27,28738.15,2.76,2.5
261,1.27,28590.57,2.87,2.6
262,1.28,28444.12,2.97,2.7
263,1.28,28298.78,3.07,2.8
264,1.29,28154.55,3.18,2.9
265,1.29,28011.4,3.28,3.0
266,1.3,27869.32,3.38,3.1
267,1.3,27728.31,3.48,3.2
268,1.31,27588.36,3.58,3.3
269,1.31,27449.44,3.69,3.4
270,1.32,27311.56,3.79,3.5
271,1.32,27174.69,3.89,3.6
272,1.33,27038.82,3.99,3.7
273,1.33,26903.96,4.09,3.8
274,1.34,26770.07,4.19,3.9
275,1.34,26637.16,4.29,4.0
276,1.35,26505.22,4.39,4.1
277,1.35,26374.22,4.49,4.2
278,1.36,26244.17,4.59,4.3
279,1.36,26115.05,4.69,4.4
280,1.37,25986.86,4.79,4.5
281,1.37,25859.57,4.89,4.6
282,1.38,25733.19,4.99,4.7
283,1.38,25607.7,5.09,4.8
284,1.39,25483.1,5.19,4.9
285,1.39,25359.37,5.29,5.0
286,1.4,25236.5,5.38,5.1
287,1.4,25114.49,5.48,5.2
288,1.41,24993.33,5.58,5.3
289,1.41,24873.01,5.68,5.4
290,1.42,24753.52,5.78,5.5
291,1.42,24634.85,5.88,5.6
292,1.43,24516.99,5.97,5.7
293,1.43,24399.93,6.07,5.8
294,1.44,24283.67,6.17,5.9
295,1.44,24168.2,6.27,6.0
296,1.45,24053.51,6.36,6.1
297,1.45,23939.6,6.46,6.1
298,1.46,23826.44,6.56,6.2
299,1.46,23714.05,6.65,6.3
300,1.46,23602.4,6.75,6.4
301,1.47,23491.5,6.85,6.5
302,1.47,23381.32,6.94,6.6
303,1.48,23271.88,7.04,6.7
304,1.48,23163.16,7.14,6.8
305,1.49,23055.15,7.23,6.9
306,1.49,22947.84,7.33,7.0
307,1.5,22841.24,7.42,7.1
308,1.5,22735.32,7.52,7.2
309,1.51,22630.1,7.62,7.3
310,1.51,22525.55,7.71,7.4
311,1.52,22421.67,7.81,7.5
312,1.52,22318.46,7.9,7.6
313,1.53,22215.91,8,7.7
314,1.53,22114.01,8.09,7.8
315,1.54,22012.76,8.19,7.9
316,1.54,21912.15,8.28,8.0
317,1.55,21812.18,8.38,8.1
318,1.55,21712.83,8.47,8.2
319,1.56,21614.11,8.57,8.2
320,1.56,21516,8.66,8.3
321,1.57,21418.5,8.75,8.4
322,1.57,21321.61,8.85,8.5
323,1.58,21225.33,8.94,8.6
324,1.58,21129.63,9.04,8.7
325,1.59,21034.52,9.13,8.8
326,1.59,20940,9.22,8.9
327,1.6,20846.06,9.32,9.0
328,1.6,20752.68,9.41,9.1
329,1.61,20659.88,9.5,9.2
330,1.61,20567.64,9.6,9.3
331,1.62,20475.95,9.69,9.4
332,1.62,20384.82,9.78,9.5
333,1.63,20294.23,9.88,9.6
334,1.63,20204.19,9.97,9.6
335,1.64,20114.69,10.06,9.7
336,1.64,20025.71,10.16,9.8
337,1.65,19937.27,10.25,9.9
338,1.65,19849.35,10.34,10.0
339,1.66,19761.95,10.43,10.1
340,1.66,19675.06,10.53,10.2
341,1.67,19588.68,10.62,10.3
342,1.67,19502.81,10.71,10.4
343,1.67,19417.43,10.8,10.5
344,1.68,19332.56,10.89,10.6
345,1.68,19248.17,10.99,10.7
346,1.69,19164.28,11.08,10.8
347,1.69,19080.86,11.17,10.8
348,1.7,18997.93,11.26,10.9
349,1.7,18915.47,11.35,11.0
350,1.71,18833.49,11.44,11.1
351,1.71,18751.97,11.54,11.2
352,1.72,18670.91,11.63,11.3
353,1.72,18590.31,11.72,11.4
354,1.73,18510.17,11.81,11.5
355,1.73,18430.48,11.9,11.6
356,1.74,18351.24,11.99,11.7
357,1.74,18272.44,12.08,11.8
358,1.75,18194.08,12.18,11.8
359,1.75,18116.16,12.27,11.9
360,1.76,18038.67,12.36,12.0
361,1.76,17961.61,12.45,12.1
362,1.77,17884.97,12.54,12.2
363,1.77,17808.76,12.63,12.3
364,1.78,17732.97,12.72,12.4
365,1.78,17657.59,12.81,12.5
366,1.79,17582.62,12.9,12.6
367,1.79,17508.07,12.99,12.7
368,1.8,17433.91,13.08,12.8
369,1.8,17360.16,13.17,12.8
370,1.81,17286.81,13.26,12.9
371,1.81,17213.85,13.35,13.0
372,1.82,17141.29,13.44,13.1
373,1.82,17069.12,13.53,13.2
374,1.83,16997.33,13.62,13.3
375,1.83,16925.92,13.71,13.4
376,1.84,16854.89,13.8,13.5
